index,o3_sub_index,no2_one_hour_max,o3_eight_hour_max,psi_twenty_four_hourly,pm10_twenty_four_hourly,pm10_sub_index,pm25_twenty_four_hourly,pm25_sub_index,psi_three_hourly,so2_sub_index,so2_twenty_four_hourly,co_eight_hour_max,co_sub_index,date
0,"{'west': 13, 'national': 14, 'east': 14, 'central': 8, 'south': 7, 'north': 12}","{'west': 4, 'national': 24, 'east': 17, 'central': 24, 'south': 11, 'north': 12}","{'west': 30, 'national': 32, 'east': 32, 'central': 19, 'south': 16, 'north': 29}","{'west': 33, 'national': 43, 'east': 43, 'central': 34, 'south': 41, 'north': 40}","{'west': 17, 'national': 23, 'east': 21, 'central': 15, 'south': 23, 'north': 19}","{'west': 17, 'national': 23, 'east': 21, 'central': 15, 'south': 23, 'north': 19}","{'west': 8, 'national': 10, 'east': 10, 'central': 8, 'south': 10, 'north': 10}","{'west': 33, 'national': 43, 'east': 43, 'central': 34, 'south': 41, 'north': 40}","{'west': 25, 'national': 42, 'east': 52, 'central': 41, 'south': 40, 'north': 47}","{'west': 2, 'national': 2, 'east': 2, 'central': 2, 'south': 2, 'north': 2}","{'west': 3, 'national': 4, 'east': 4, 'central': 3, 'south': 3, 'north': 2}","{'west': 0.28, 'national': 0.71, 'east': 0.2, 'central': 0.71, 'south': 0.71, 'north': 0.37}","{'west': 3, 'national': 7, 'east': 2, 'central': 7, 'south': 7, 'north': 4}",2017-01-01
1,"{'west': 7, 'national': 7, 'east': 6, 'central': 6, 'south': 4, 'north': 6}","{'west': 21, 'national': 31, 'east': 22, 'central': 31, 'south': 24, 'north': 27}","{'west': 17, 'national': 17, 'east': 15, 'central': 13, 'south': 11, 'north': 13}","{'west': 29, 'national': 51, 'east': 51, 'central': 36, 'south': 41, 'north': 41}","{'west': 18, 'national': 25, 'east': 23, 'central': 18, 'south': 25, 'north': 21}","{'west': 18, 'national': 25, 'east': 23, 'central': 18, 'south': 25, 'north': 21}","{'west': 7, 'national': 12, 'east': 12, 'central': 9, 'south': 10, 'north': 10}","{'west': 29, 'national': 51, 'east': 51, 'central': 36, 'south': 41, 'north': 41}","{'west': 23, 'national': 35, 'east': 51, 'central': 31, 'south': 27, 'north': 44}","{'west': 2, 'national': 4, 'east': 3, 'central': 3, 'south': 4, 'north': 2}","{'west': 3, 'national': 7, 'east': 6, 'central': 4, 'south': 7, 'north': 3}","{'west': 0.32, 'national': 0.85, 'east': 0.25, 'central': 0.85, 'south': 0.85, 'north': 0.5}","{'west': 3, 'national': 9, 'east': 2, 'central': 9, 'south': 9, 'north': 5}",2017-01-02
2,"{'west': 16, 'national': 16, 'east': 11, 'central': 6, 'south': 6, 'north': 9}","{'west': 12, 'national': 25, 'east': 8, 'central': 25, 'south': 22, 'north': 16}","{'west': 38, 'national': 38, 'east': 26, 'central': 14, 'south': 13, 'north': 21}","{'west': 28, 'national': 50, 'east': 45, 'central': 34, 'south': 35, 'north': 50}","{'west': 15, 'national': 21, 'east': 21, 'central': 15, 'south': 19, 'north': 21}","{'west': 15, 'national': 21, 'east': 21, 'central': 15, 'south': 19, 'north': 21}","{'west': 7, 'national': 12, 'east': 11, 'central': 8, 'south': 8, 'north': 12}","{'west': 28, 'national': 50, 'east': 45, 'central': 34, 'south': 35, 'north': 50}","{'west': 18, 'national': 28, 'east': 27, 'central': 25, 'south': 34, 'north': 38}","{'west': 2, 'national': 3, 'east': 3, 'central': 2, 'south': 2, 'north': 2}","{'west': 3, 'national': 4, 'east': 4, 'central': 4, 'south': 4, 'north': 3}","{'west': 0.3, 'national': 0.54, 'east': 0.17, 'central': 0.54, 'south': 0.54, 'north': 0.51}","{'west': 3, 'national': 5, 'east': 2, 'central': 5, 'south': 5, 'north': 5}",2017-01-03
3,"{'west': 24, 'national': 24, 'east': 14, 'central': 12, 'south': 14, 'north': 12}","{'west': 21, 'national': 27, 'east': 9, 'central': 27, 'south': 19, 'north': 16}","{'west': 57, 'national': 57, 'east': 32, 'central': 28, 'south': 33, 'north': 28}","{'west': 24, 'national': 35, 'east': 35, 'central': 26, 'south': 26, 'north': 31}","{'west': 12, 'national': 16, 'east': 16, 'central': 15, 'south': 16, 'north': 15}","{'west': 12, 'national': 16, 'east': 16, 'central': 15, 'south': 16, 'north': 15}","{'west': 5, 'national': 8, 'east': 8, 'central': 6, 'south': 6, 'north': 7}","{'west': 23, 'national': 35, 'east': 35, 'central': 26, 'south': 26, 'north': 31}","{'west': 21, 'national': 35, 'east': 27, 'central': 38, 'south': 36, 'north': 51}","{'west': 2, 'national': 3, 'east': 3, 'central': 3, 'south': 3, 'north': 2}","{'west': 2, 'national': 5, 'east': 5, 'central': 5, 'south': 5, 'north': 4}","{'west': 0.32, 'national': 0.56, 'east': 0.19, 'central': 0.56, 'south': 0.56, 'north': 0.47}","{'west': 3, 'national': 6, 'east': 2, 'central': 6, 'south': 6, 'north': 5}",2017-01-04
4,"{'west': 13, 'national': 15, 'east': 15, 'central': 9, 'south': 9, 'north': 10}","{'west': 11, 'national': 40, 'east': 14, 'central': 40, 'south': 35, 'north': 25}","{'west': 30, 'national': 35, 'east': 35, 'central': 22, 'south': 22, 'north': 24}","{'west': 24, 'national': 42, 'east': 36, 'central': 28, 'south': 28, 'north': 42}","{'west': 14, 'national': 20, 'east': 18, 'central': 13, 'south': 14, 'north': 20}","{'west': 14, 'national': 20, 'east': 18, 'central': 13, 'south': 14, 'north': 20}","{'west': 6, 'national': 10, 'east': 9, 'central': 7, 'south': 7, 'north': 10}","{'west': 24, 'national': 42, 'east': 36, 'central': 28, 'south': 28, 'north': 42}","{'west': 14, 'national': 28, 'east': 28, 'central': 22, 'south': 27, 'north': 47}","{'west': 2, 'national': 3, 'east': 2, 'central': 3, 'south': 2, 'north': 2}","{'west': 3, 'national': 5, 'east': 4, 'central': 5, 'south': 4, 'north': 3}","{'west': 0.22, 'national': 0.65, 'east': 0.24, 'central': 0.65, 'south': 0.65, 'north': 0.49}","{'west': 2, 'national': 6, 'east': 2, 'central': 6, 'south': 6, 'north': 5}",2017-01-05
5,"{'west': 22, 'national': 22, 'east': 18, 'central': 12, 'south': 10, 'north': 20}","{'west': 62, 'national': 62, 'east': 25, 'central': 48, 'south': 38, 'north': 20}","{'west': 52, 'national': 52, 'east': 43, 'central': 28, 'south': 25, 'north': 48}","{'west': 52, 'national': 56, 'east': 52, 'central': 53, 'south': 54, 'north': 56}","{'west': 28, 'national': 30, 'east': 23, 'central': 23, 'south': 30, 'north': 28}","{'west': 28, 'national': 30, 'east': 23, 'central': 23, 'south': 30, 'north': 28}","{'west': 13, 'national': 16, 'east': 13, 'central': 14, 'south': 14, 'north': 16}","{'west': 52, 'national': 56, 'east': 52, 'central': 53, 'south': 54, 'north': 56}","{'west': 53, 'national': 60, 'east': 59, 'central': 54, 'south': 66, 'north': 67}","{'west': 7, 'national': 11, 'east': 10, 'central': 11, 'south': 11, 'north': 5}","{'west': 12, 'national': 18, 'east': 16, 'central': 18, 'south': 18, 'north': 8}","{'west': 0.28, 'national': 0.72, 'east': 0.21, 'central': 0.72, 'south': 0.72, 'north': 0.53}","{'west': 3, 'national': 7, 'east': 2, 'central': 7, 'south': 7, 'north': 5}",2017-01-06
6,"{'west': 17, 'national': 22, 'east': 18, 'central': 17, 'south': 14, 'north': 22}","{'west': 42, 'national': 46, 'east': 44, 'central': 46, 'south': 31, 'north': 30}","{'west': 41, 'national': 52, 'east': 43, 'central': 40, 'south': 33, 'north': 52}","{'west': 44, 'national': 57, 'east': 52, 'central': 47, 'south': 53, 'north': 57}","{'west': 24, 'national': 32, 'east': 22, 'central': 19, 'south': 27, 'north': 32}","{'west': 24, 'national': 32, 'east': 22, 'central': 19, 'south': 27, 'north': 32}","{'west': 11, 'national': 17, 'east': 13, 'central': 11, 'south': 13, 'north': 17}","{'west': 44, 'national': 57, 'east': 52, 'central': 47, 'south': 53, 'north': 57}","{'west': 36, 'national': 54, 'east': 55, 'central': 52, 'south': 59, 'north': 59}","{'west': 9, 'national': 23, 'east': 17, 'central': 12, 'south': 23, 'north': 11}","{'west': 14, 'national': 37, 'east': 27, 'central': 19, 'south': 37, 'north': 17}","{'west': 0.26, 'national': 0.66, 'east': 0.25, 'central': 0.66, 'south': 0.66, 'north': 0.45}","{'west': 3, 'national': 7, 'east': 2, 'central': 7, 'south': 7, 'north': 4}",2017-01-07
7,"{'west': 21, 'national': 23, 'east': 22, 'central': 23, 'south': 18, 'north': 22}","{'west': 45, 'national': 45, 'east': 14, 'central': 17, 'south': 17, 'north': 13}","{'west': 51, 'national': 55, 'east': 53, 'central': 55, 'south': 41, 'north': 53}","{'west': 53, 'national': 53, 'east': 46, 'central': 51, 'south': 53, 'north': 53}","{'west': 26, 'national': 29, 'east': 20, 'central': 21, 'south': 29, 'north': 25}","{'west': 26, 'national': 29, 'east': 20, 'central': 21, 'south': 29, 'north': 25}","{'west': 13, 'national': 14, 'east': 11, 'central': 12, 'south': 14, 'north': 14}","{'west': 53, 'national': 53, 'east': 46, 'central': 51, 'south': 53, 'north': 53}","{'west': 29, 'national': 48, 'east': 51, 'central': 42, 'south': 54, 'north': 53}","{'west': 13, 'national': 19, 'east': 10, 'central': 8, 'south': 19, 'north': 5}","{'west': 20, 'national': 30, 'east': 15, 'central': 14, 'south': 30, 'north': 8}","{'west': 0.33, 'national': 0.65, 'east': 0.34, 'central': 0.65, 'south': 0.65, 'north': 0.48}","{'west': 3, 'national': 7, 'east': 3, 'central': 7, 'south': 7, 'north': 5}",2017-01-08
8,"{'west': 19, 'national': 26, 'east': 26, 'central': 20, 'south': 17, 'north': 24}","{'west': 20, 'national': 22, 'east': 10, 'central': 22, 'south': 16, 'north': 9}","{'west': 44, 'national': 61, 'east': 61, 'central': 46, 'south': 40, 'north': 56}","{'west': 50, 'national': 54, 'east': 50, 'central': 48, 'south': 50, 'north': 54}","{'west': 26, 'national': 28, 'east': 22, 'central': 21, 'south': 26, 'north': 28}","{'west': 26, 'national': 28, 'east': 22, 'central': 21, 'south': 26, 'north': 28}","{'west': 12, 'national': 15, 'east': 12, 'central': 11, 'south': 12, 'north': 15}","{'west': 50, 'national': 54, 'east': 50, 'central': 48, 'south': 50, 'north': 54}","{'west': 43, 'national': 51, 'east': 50, 'central': 43, 'south': 48, 'north': 57}","{'west': 5, 'national': 10, 'east': 5, 'central': 6, 'south': 10, 'north': 3}","{'west': 7, 'national': 15, 'east': 8, 'central': 9, 'south': 15, 'north': 5}","{'west': 0.26, 'national': 0.75, 'east': 0.28, 'central': 0.75, 'south': 0.75, 'north': 0.53}","{'west': 3, 'national': 8, 'east': 3, 'central': 8, 'south': 8, 'north': 5}",2017-01-09
9,"{'west': 20, 'national': 20, 'east': 14, 'central': 8, 'south': 8, 'north': 12}","{'west': 29, 'national': 34, 'east': 5, 'central': 34, 'south': 14, 'north': 18}","{'west': 46, 'national': 46, 'east': 34, 'central': 20, 'south': 20, 'north': 28}","{'west': 51, 'national': 53, 'east': 52, 'central': 53, 'south': 51, 'north': 51}","{'west': 26, 'national': 28, 'east': 24, 'central': 26, 'south': 28, 'north': 25}","{'west': 26, 'national': 28, 'east': 24, 'central': 26, 'south': 28, 'north': 25}","{'west': 12, 'national': 14, 'east': 13, 'central': 14, 'south': 12, 'north': 12}","{'west': 51, 'national': 53, 'east': 52, 'central': 53, 'south': 51, 'north': 51}","{'west': 43, 'national': 51, 'east': 51, 'central': 54, 'south': 43, 'north': 53}","{'west': 4, 'national': 4, 'east': 2, 'central': 4, 'south': 4, 'north': 2}","{'west': 7, 'national': 7, 'east': 3, 'central': 6, 'south': 7, 'north': 3}","{'west': 0.25, 'national': 0.79, 'east': 0.28, 'central': 0.79, 'south': 0.79, 'north': 0.52}","{'west': 3, 'national': 8, 'east': 3, 'central': 8, 'south': 8, 'north': 5}",2017-01-10
10,"{'west': 12, 'national': 12, 'east': 9, 'central': 5, 'south': 6, 'north': 8}","{'west': 28, 'national': 34, 'east': 24, 'central': 34, 'south': 26, 'north': 25}","{'west': 29, 'national': 29, 'east': 22, 'central': 11, 'south': 15, 'north': 19}","{'west': 52, 'national': 54, 'east': 54, 'central': 54, 'south': 54, 'north': 54}","{'west': 26, 'national': 28, 'east': 25, 'central': 25, 'south': 28, 'north': 25}","{'west': 26, 'national': 28, 'east': 25, 'central': 25, 'south': 28, 'north': 25}","{'west': 13, 'national': 15, 'east': 14, 'central': 15, 'south': 15, 'north': 15}","{'west': 52, 'national': 54, 'east': 54, 'central': 54, 'south': 54, 'north': 54}","{'west': 52, 'national': 54, 'east': 45, 'central': 54, 'south': 52, 'north': 65}","{'west': 2, 'national': 7, 'east': 2, 'central': 5, 'south': 7, 'north': 3}","{'west': 3, 'national': 11, 'east': 4, 'central': 8, 'south': 11, 'north': 5}","{'west': 0.26, 'national': 0.81, 'east': 0.35, 'central': 0.81, 'south': 0.81, 'north': 0.45}","{'west': 3, 'national': 8, 'east': 3, 'central': 8, 'south': 8, 'north': 4}",2017-01-11
11,"{'west': 30, 'national': 30, 'east': 20, 'central': 19, 'south': 14, 'north': 20}","{'west': 17, 'national': 44, 'east': 21, 'central': 36, 'south': 29, 'north': 44}","{'west': 72, 'national': 72, 'east': 47, 'central': 44, 'south': 33, 'north': 48}","{'west': 53, 'national': 65, 'east': 57, 'central': 55, 'south': 55, 'north': 65}","{'west': 27, 'national': 39, 'east': 30, 'central': 25, 'south': 31, 'north': 39}","{'west': 27, 'national': 39, 'east': 30, 'central': 25, 'south': 31, 'north': 39}","{'west': 13, 'national': 25, 'east': 18, 'central': 16, 'south': 16, 'north': 25}","{'west': 53, 'national': 65, 'east': 57, 'central': 55, 'south': 55, 'north': 65}","{'west': 59, 'national': 61, 'east': 54, 'central': 57, 'south': 62, 'north': 73}","{'west': 3, 'national': 8, 'east': 7, 'central': 5, 'south': 8, 'north': 5}","{'west': 4, 'national': 13, 'east': 11, 'central': 8, 'south': 13, 'north': 7}","{'west': 0.79, 'national': 0.79, 'east': 0.29, 'central': 0.5, 'south': 0.5, 'north': 0.66}","{'west': 8, 'national': 8, 'east': 3, 'central': 5, 'south': 5, 'north': 7}",2017-01-12
12,"{'west': 23, 'national': 25, 'east': 16, 'central': 16, 'south': 14, 'north': 25}","{'west': 48, 'national': 65, 'east': 38, 'central': 65, 'south': 57, 'north': 28}","{'west': 54, 'national': 59, 'east': 38, 'central': 39, 'south': 33, 'north': 59}","{'west': 54, 'national': 61, 'east': 56, 'central': 61, 'south': 59, 'north': 57}","{'west': 32, 'national': 37, 'east': 27, 'central': 31, 'south': 37, 'north': 29}","{'west': 32, 'national': 37, 'east': 27, 'central': 31, 'south': 37, 'north': 29}","{'west': 15, 'national': 21, 'east': 17, 'central': 21, 'south': 19, 'north': 17}","{'west': 54, 'national': 61, 'east': 56, 'central': 61, 'south': 59, 'north': 57}","{'west': 55, 'national': 57, 'east': 59, 'central': 64, 'south': 56, 'north': 52}","{'west': 3, 'national': 12, 'east': 4, 'central': 7, 'south': 12, 'north': 2}","{'west': 5, 'national': 19, 'east': 6, 'central': 12, 'south': 19, 'north': 3}","{'west': 0.84, 'national': 0.84, 'east': 0.41, 'central': 0.67, 'south': 0.67, 'north': 0.58}","{'west': 8, 'national': 8, 'east': 4, 'central': 7, 'south': 7, 'north': 6}",2017-01-13
13,"{'west': 31, 'national': 31, 'east': 14, 'central': 17, 'south': 7, 'north': 26}","{'west': 35, 'national': 71, 'east': 47, 'central': 71, 'south': 57, 'north': 37}","{'west': 73, 'national': 73, 'east': 32, 'central': 41, 'south': 17, 'north': 61}","{'west': 51, 'national': 61, 'east': 61, 'central': 55, 'south': 60, 'north': 56}","{'west': 25, 'national': 38, 'east': 32, 'central': 25, 'south': 38, 'north': 30}","{'west': 25, 'national': 38, 'east': 32, 'central': 25, 'south': 38, 'north': 30}","{'west': 12, 'national': 21, 'east': 21, 'central': 16, 'south': 20, 'north': 16}","{'west': 51, 'national': 61, 'east': 61, 'central': 55, 'south': 60, 'north': 56}","{'west': 54, 'national': 67, 'east': 71, 'central': 66, 'south': 76, 'north': 68}","{'west': 4, 'national': 28, 'east': 16, 'central': 9, 'south': 28, 'north': 3}","{'west': 7, 'national': 44, 'east': 25, 'central': 14, 'south': 44, 'north': 5}","{'west': 0.71, 'national': 0.71, 'east': 0.34, 'central': 0.6, 'south': 0.6, 'north': 0.56}","{'west': 7, 'national': 7, 'east': 3, 'central': 6, 'south': 6, 'north': 6}",2017-01-14
14,"{'west': 28, 'national': 28, 'east': 19, 'central': 17, 'south': 15, 'north': 21}","{'west': 10, 'national': 55, 'east': 31, 'central': 55, 'south': 28, 'north': 27}","{'west': 66, 'national': 66, 'east': 44, 'central': 40, 'south': 36, 'north': 50}","{'west': 54, 'national': 56, 'east': 56, 'central': 55, 'south': 53, 'north': 55}","{'west': 26, 'national': 27, 'east': 26, 'central': 26, 'south': 27, 'north': 26}","{'west': 26, 'national': 27, 'east': 26, 'central': 26, 'south': 27, 'north': 26}","{'west': 15, 'national': 17, 'east': 17, 'central': 16, 'south': 14, 'north': 16}","{'west': 54, 'national': 56, 'east': 56, 'central': 55, 'south': 53, 'north': 55}","{'west': 40, 'national': 54, 'east': 41, 'central': 60, 'south': 51, 'north': 60}","{'west': 4, 'national': 10, 'east': 6, 'central': 5, 'south': 10, 'north': 3}","{'west': 6, 'national': 16, 'east': 10, 'central': 8, 'south': 16, 'north': 4}","{'west': 0.69, 'national': 0.69, 'east': 0.32, 'central': 0.53, 'south': 0.53, 'north': 0.57}","{'west': 7, 'national': 7, 'east': 3, 'central': 5, 'south': 5, 'north': 6}",2017-01-15
15,"{'west': 30, 'national': 30, 'east': 15, 'central': 22, 'south': 15, 'north': 27}","{'west': 36, 'national': 65, 'east': 17, 'central': 65, 'south': 50, 'north': 29}","{'west': 70, 'national': 70, 'east': 36, 'central': 53, 'south': 36, 'north': 63}","{'west': 45, 'national': 54, 'east': 54, 'central': 45, 'south': 48, 'north': 53}","{'west': 21, 'national': 25, 'east': 25, 'central': 20, 'south': 24, 'north': 25}","{'west': 21, 'national': 25, 'east': 25, 'central': 20, 'south': 24, 'north': 25}","{'west': 11, 'national': 15, 'east': 15, 'central': 11, 'south': 12, 'north': 14}","{'west': 45, 'national': 54, 'east': 54, 'central': 45, 'south': 48, 'north': 53}","{'west': 22, 'national': 50, 'east': 47, 'central': 52, 'south': 52, 'north': 56}","{'west': 3, 'national': 8, 'east': 7, 'central': 4, 'south': 8, 'north': 2}","{'west': 5, 'national': 13, 'east': 11, 'central': 6, 'south': 13, 'north': 4}","{'west': 0.69, 'national': 0.81, 'east': 0.35, 'central': 0.81, 'south': 0.81, 'north': 0.59}","{'west': 7, 'national': 8, 'east': 3, 'central': 8, 'south': 8, 'north': 6}",2017-01-16
16,"{'west': 28, 'national': 28, 'east': 13, 'central': 19, 'south': 13, 'north': 27}","{'west': 44, 'national': 44, 'east': 22, 'central': 38, 'south': 25, 'north': 28}","{'west': 66, 'national': 66, 'east': 32, 'central': 44, 'south': 31, 'north': 63}","{'west': 53, 'national': 55, 'east': 53, 'central': 55, 'south': 55, 'north': 53}","{'west': 29, 'national': 34, 'east': 28, 'central': 29, 'south': 34, 'north': 26}","{'west': 29, 'national': 34, 'east': 28, 'central': 29, 'south': 34, 'north': 26}","{'west': 14, 'national': 16, 'east': 14, 'central': 15, 'south': 16, 'north': 14}","{'west': 53, 'national': 55, 'east': 53, 'central': 55, 'south': 55, 'north': 53}","{'west': 51, 'national': 53, 'east': 55, 'central': 50, 'south': 52, 'north': 57}","{'west': 3, 'national': 12, 'east': 5, 'central': 7, 'south': 12, 'north': 3}","{'west': 5, 'national': 20, 'east': 8, 'central': 11, 'south': 20, 'north': 5}","{'west': 0.78, 'national': 0.78, 'east': 0.34, 'central': 0.75, 'south': 0.75, 'north': 0.48}","{'west': 8, 'national': 8, 'east': 3, 'central': 8, 'south': 8, 'north': 5}",2017-01-17
17,"{'west': 12, 'national': 14, 'east': 10, 'central': 6, 'south': 6, 'north': 14}","{'west': 39, 'national': 44, 'east': 16, 'central': 44, 'south': 33, 'north': 34}","{'west': 29, 'national': 34, 'east': 24, 'central': 14, 'south': 15, 'north': 34}","{'west': 47, 'national': 52, 'east': 52, 'central': 43, 'south': 49, 'north': 44}","{'west': 24, 'national': 24, 'east': 24, 'central': 18, 'south': 22, 'north': 23}","{'west': 24, 'national': 24, 'east': 24, 'central': 18, 'south': 22, 'north': 23}","{'west': 11, 'national': 13, 'east': 13, 'central': 10, 'south': 12, 'north': 11}","{'west': 47, 'national': 52, 'east': 52, 'central': 43, 'south': 49, 'north': 44}","{'west': 38, 'national': 39, 'east': 42, 'central': 28, 'south': 46, 'north': 44}","{'west': 7, 'national': 7, 'east': 3, 'central': 3, 'south': 3, 'north': 2}","{'west': 11, 'national': 11, 'east': 5, 'central': 6, 'south': 5, 'north': 4}","{'west': 0.38, 'national': 0.83, 'east': 0.39, 'central': 0.83, 'south': 0.83, 'north': 0.38}","{'west': 4, 'national': 8, 'east': 4, 'central': 8, 'south': 8, 'north': 4}",2017-01-18
18,"{'west': 13, 'national': 13, 'east': 9, 'central': 8, 'south': 9, 'north': 11}","{'west': 47, 'national': 55, 'east': 25, 'central': 55, 'south': 50, 'north': 43}","{'west': 32, 'national': 32, 'east': 21, 'central': 18, 'south': 22, 'north': 25}","{'west': 41, 'national': 54, 'east': 53, 'central': 41, 'south': 48, 'north': 54}","{'west': 21, 'national': 27, 'east': 27, 'central': 17, 'south': 24, 'north': 27}","{'west': 21, 'national': 27, 'east': 27, 'central': 17, 'south': 24, 'north': 27}","{'west': 10, 'national': 15, 'east': 14, 'central': 10, 'south': 11, 'north': 15}","{'west': 41, 'national': 54, 'east': 53, 'central': 41, 'south': 48, 'north': 54}","{'west': 36, 'national': 54, 'east': 55, 'central': 52, 'south': 55, 'north': 62}","{'west': 3, 'national': 5, 'east': 3, 'central': 3, 'south': 4, 'north': 5}","{'west': 5, 'national': 9, 'east': 4, 'central': 4, 'south': 6, 'north': 9}","{'west': 0.49, 'national': 0.95, 'east': 0.48, 'central': 0.95, 'south': 0.95, 'north': 0.49}","{'west': 5, 'national': 10, 'east': 5, 'central': 10, 'south': 10, 'north': 5}",2017-01-19
19,"{'west': 19, 'national': 19, 'east': 10, 'central': 10, 'south': 6, 'north': 18}","{'west': 49, 'national': 67, 'east': 25, 'central': 67, 'south': 64, 'north': 60}","{'west': 44, 'national': 44, 'east': 23, 'central': 23, 'south': 13, 'north': 43}","{'west': 32, 'national': 53, 'east': 53, 'central': 44, 'south': 46, 'north': 52}","{'west': 17, 'national': 24, 'east': 24, 'central': 18, 'south': 23, 'north': 23}","{'west': 17, 'national': 24, 'east': 24, 'central': 18, 'south': 23, 'north': 23}","{'west': 8, 'national': 14, 'east': 14, 'central': 11, 'south': 11, 'north': 13}","{'west': 32, 'national': 53, 'east': 53, 'central': 44, 'south': 46, 'north': 52}","{'west': 20, 'national': 56, 'east': 55, 'central': 54, 'south': 57, 'north': 73}","{'west': 3, 'national': 17, 'east': 12, 'central': 8, 'south': 17, 'north': 8}","{'west': 5, 'national': 28, 'east': 19, 'central': 13, 'south': 28, 'north': 13}","{'west': 0.44, 'national': 0.71, 'east': 0.28, 'central': 0.71, 'south': 0.71, 'north': 0.42}","{'west': 4, 'national': 7, 'east': 3, 'central': 7, 'south': 7, 'north': 4}",2017-01-20
20,"{'west': 7, 'national': 10, 'east': 10, 'central': 5, 'south': 5, 'north': 10}","{'west': 31, 'national': 34, 'east': 20, 'central': 34, 'south': 22, 'north': 8}","{'west': 17, 'national': 24, 'east': 24, 'central': 12, 'south': 11, 'north': 24}","{'west': 45, 'national': 49, 'east': 44, 'central': 37, 'south': 43, 'north': 49}","{'west': 23, 'national': 23, 'east': 18, 'central': 17, 'south': 21, 'north': 21}","{'west': 23, 'national': 23, 'east': 18, 'central': 17, 'south': 21, 'north': 21}","{'west': 11, 'national': 12, 'east': 11, 'central': 9, 'south': 10, 'north': 12}","{'west': 45, 'national': 49, 'east': 44, 'central': 37, 'south': 43, 'north': 49}","{'west': 30, 'national': 23, 'east': 23, 'central': 20, 'south': 24, 'north': 19}","{'west': 3, 'national': 10, 'east': 5, 'central': 6, 'south': 10, 'north': 5}","{'west': 5, 'national': 16, 'east': 7, 'central': 9, 'south': 16, 'north': 8}","{'west': 0.31, 'national': 0.76, 'east': 0.24, 'central': 0.76, 'south': 0.76, 'north': 0.31}","{'west': 3, 'national': 8, 'east': 2, 'central': 8, 'south': 8, 'north': 3}",2017-01-21
21,"{'west': 20, 'national': 20, 'east': 14, 'central': 11, 'south': 8, 'north': 18}","{'west': 5, 'national': 26, 'east': 26, 'central': 24, 'south': 17, 'north': 5}","{'west': 47, 'national': 47, 'east': 33, 'central': 25, 'south': 20, 'north': 41}","{'west': 26, 'national': 32, 'east': 32, 'central': 28, 'south': 27, 'north': 27}","{'west': 17, 'national': 18, 'east': 17, 'central': 14, 'south': 18, 'north': 16}","{'west': 17, 'national': 18, 'east': 17, 'central': 14, 'south': 18, 'north': 16}","{'west': 6, 'national': 8, 'east': 8, 'central': 7, 'south': 6, 'north': 6}","{'west': 26, 'national': 32, 'east': 32, 'central': 28, 'south': 27, 'north': 27}","{'west': 27, 'national': 36, 'east': 39, 'central': 32, 'south': 42, 'north': 42}","{'west': 2, 'national': 3, 'east': 2, 'central': 3, 'south': 2, 'north': 3}","{'west': 3, 'national': 5, 'east': 4, 'central': 5, 'south': 4, 'north': 5}","{'west': 0.35, 'national': 0.68, 'east': 0.18, 'central': 0.68, 'south': 0.68, 'north': 0.45}","{'west': 4, 'national': 7, 'east': 2, 'central': 7, 'south': 7, 'north': 5}",2017-01-22
22,"{'west': 15, 'national': 15, 'east': 7, 'central': 4, 'south': 2, 'north': 10}","{'west': 12, 'national': 37, 'east': 34, 'central': 37, 'south': 22, 'north': 33}","{'west': 34, 'national': 34, 'east': 17, 'central': 8, 'south': 5, 'north': 24}","{'west': 18, 'national': 25, 'east': 20, 'central': 21, 'south': 23, 'north': 25}","{'west': 11, 'national': 17, 'east': 10, 'central': 14, 'south': 15, 'north': 17}","{'west': 11, 'national': 17, 'east': 10, 'central': 14, 'south': 15, 'north': 17}","{'west': 4, 'national': 6, 'east': 5, 'central': 5, 'south': 5, 'north': 6}","{'west': 18, 'national': 25, 'east': 20, 'central': 21, 'south': 23, 'north': 25}","{'west': 15, 'national': 17, 'east': 19, 'central': 16, 'south': 17, 'north': 20}","{'west': 2, 'national': 3, 'east': 2, 'central': 3, 'south': 2, 'north': 2}","{'west': 3, 'national': 5, 'east': 3, 'central': 5, 'south': 4, 'north': 4}","{'west': 0.39, 'national': 0.83, 'east': 0.22, 'central': 0.83, 'south': 0.83, 'north': 0.51}","{'west': 4, 'national': 8, 'east': 2, 'central': 8, 'south': 8, 'north': 5}",2017-01-23
