index,o3_sub_index,no2_one_hour_max,o3_eight_hour_max,psi_twenty_four_hourly,pm10_twenty_four_hourly,pm10_sub_index,pm25_twenty_four_hourly,pm25_sub_index,psi_three_hourly,so2_sub_index,so2_twenty_four_hourly,co_eight_hour_max,co_sub_index,date
1135,"{'west': 11, 'national': 16, 'east': 11, 'central': 16, 'south': 13, 'north': 14}","{'west': 19, 'national': 25, 'east': 19, 'central': 25, 'south': 17, 'north': 9}","{'west': 25, 'national': 37, 'east': 26, 'central': 37, 'south': 30, 'north': 34}","{'west': 21, 'national': 26, 'east': 26, 'central': 23, 'south': 22, 'north': 25}","{'west': 16, 'national': 18, 'east': 14, 'central': 13, 'south': 18, 'north': 14}","{'west': 16, 'national': 18, 'east': 14, 'central': 13, 'south': 18, 'north': 14}","{'west': 5, 'national': 6, 'east': 6, 'central': 6, 'south': 5, 'north': 6}","{'west': 21, 'national': 26, 'east': 26, 'central': 23, 'south': 22, 'north': 25}",,"{'west': 4, 'national': 4, 'east': 1, 'central': 2, 'south': 1, 'north': 3}","{'west': 6, 'national': 6, 'east': 2, 'central': 3, 'south': 2, 'north': 4}","{'west': 0.47, 'national': 0.68, 'east': 0.68, 'central': 0.34, 'south': 0.47, 'north': 0.45}","{'west': 5, 'national': 7, 'east': 7, 'central': 3, 'south': 5, 'north': 5}",2020-02-10
1136,"{'west': 5, 'national': 8, 'east': 7, 'central': 7, 'south': 8, 'north': 8}","{'west': 16, 'national': 30, 'east': 30, 'central': 14, 'south': 23, 'north': 15}","{'west': 11, 'national': 20, 'east': 16, 'central': 17, 'south': 19, 'north': 20}","{'west': 23, 'national': 42, 'east': 37, 'central': 42, 'south': 32, 'north': 26}","{'west': 19, 'national': 21, 'east': 21, 'central': 17, 'south': 20, 'north': 14}","{'west': 19, 'national': 21, 'east': 21, 'central': 17, 'south': 20, 'north': 14}","{'west': 6, 'national': 10, 'east': 9, 'central': 10, 'south': 8, 'north': 6}","{'west': 23, 'national': 42, 'east': 37, 'central': 42, 'south': 32, 'north': 26}",,"{'west': 3, 'national': 3, 'east': 1, 'central': 2, 'south': 2, 'north': 3}","{'west': 5, 'national': 5, 'east': 2, 'central': 3, 'south': 3, 'north': 4}","{'west': 0.43, 'national': 0.75, 'east': 0.75, 'central': 0.39, 'south': 0.5, 'north': 0.44}","{'west': 4, 'national': 8, 'east': 8, 'central': 4, 'south': 5, 'north': 4}",2020-02-11
1137,"{'west': 11, 'national': 16, 'east': 13, 'central': 14, 'south': 16, 'north': 12}","{'west': 19, 'national': 28, 'east': 16, 'central': 28, 'south': 17, 'north': 9}","{'west': 26, 'national': 39, 'east': 30, 'central': 32, 'south': 39, 'north': 28}","{'west': 36, 'national': 41, 'east': 39, 'central': 41, 'south': 36, 'north': 34}","{'west': 26, 'national': 28, 'east': 24, 'central': 20, 'south': 28, 'north': 16}","{'west': 26, 'national': 28, 'east': 24, 'central': 20, 'south': 28, 'north': 16}","{'west': 9, 'national': 10, 'east': 9, 'central': 10, 'south': 9, 'north': 8}","{'west': 36, 'national': 41, 'east': 39, 'central': 41, 'south': 36, 'north': 34}",,"{'west': 3, 'national': 3, 'east': 1, 'central': 2, 'south': 1, 'north': 3}","{'west': 5, 'national': 5, 'east': 2, 'central': 3, 'south': 2, 'north': 4}","{'west': 0.46, 'national': 0.78, 'east': 0.78, 'central': 0.36, 'south': 0.46, 'north': 0.54}","{'west': 5, 'national': 8, 'east': 8, 'central': 4, 'south': 5, 'north': 5}",2020-02-12
1138,"{'west': 8, 'national': 15, 'east': 13, 'central': 13, 'south': 15, 'north': 14}","{'west': 25, 'national': 28, 'east': 10, 'central': 28, 'south': 13, 'north': 8}","{'west': 20, 'national': 35, 'east': 31, 'central': 31, 'south': 35, 'north': 33}","{'west': 39, 'national': 53, 'east': 40, 'central': 53, 'south': 44, 'north': 37}","{'west': 30, 'national': 36, 'east': 24, 'central': 29, 'south': 36, 'north': 20}","{'west': 30, 'national': 36, 'east': 24, 'central': 29, 'south': 36, 'north': 20}","{'west': 9, 'national': 14, 'east': 10, 'central': 14, 'south': 11, 'north': 9}","{'west': 39, 'national': 53, 'east': 40, 'central': 53, 'south': 44, 'north': 37}",,"{'west': 3, 'national': 3, 'east': 1, 'central': 2, 'south': 1, 'north': 3}","{'west': 5, 'national': 5, 'east': 2, 'central': 3, 'south': 2, 'north': 4}","{'west': 0.5, 'national': 0.83, 'east': 0.83, 'central': 0.39, 'south': 0.49, 'north': 0.42}","{'west': 5, 'national': 8, 'east': 8, 'central': 4, 'south': 5, 'north': 4}",2020-02-13
1139,"{'west': 9, 'national': 16, 'east': 14, 'central': 16, 'south': 16, 'north': 13}","{'west': 16, 'national': 16, 'east': 13, 'central': 16, 'south': 11, 'north': 14}","{'west': 22, 'national': 38, 'east': 32, 'central': 38, 'south': 38, 'north': 31}","{'west': 48, 'national': 55, 'east': 39, 'central': 55, 'south': 42, 'north': 35}","{'west': 32, 'national': 32, 'east': 23, 'central': 30, 'south': 32, 'north': 18}","{'west': 32, 'national': 32, 'east': 23, 'central': 30, 'south': 32, 'north': 18}","{'west': 11, 'national': 16, 'east': 9, 'central': 16, 'south': 10, 'north': 8}","{'west': 48, 'national': 55, 'east': 39, 'central': 55, 'south': 42, 'north': 35}",,"{'west': 4, 'national': 4, 'east': 1, 'central': 2, 'south': 1, 'north': 3}","{'west': 6, 'national': 6, 'east': 2, 'central': 3, 'south': 2, 'north': 4}","{'west': 0.49, 'national': 0.81, 'east': 0.81, 'central': 0.38, 'south': 0.49, 'north': 0.5}","{'west': 5, 'national': 8, 'east': 8, 'central': 4, 'south': 5, 'north': 5}",2020-02-14
1140,"{'west': 19, 'national': 29, 'east': 17, 'central': 27, 'south': 29, 'north': 17}","{'west': 12, 'national': 23, 'east': 10, 'central': 21, 'south': 23, 'north': 9}","{'west': 44, 'national': 68, 'east': 39, 'central': 65, 'south': 68, 'north': 41}","{'west': 45, 'national': 52, 'east': 37, 'central': 52, 'south': 52, 'north': 31}","{'west': 29, 'national': 40, 'east': 20, 'central': 26, 'south': 40, 'north': 15}","{'west': 29, 'national': 40, 'east': 20, 'central': 26, 'south': 40, 'north': 15}","{'west': 11, 'national': 13, 'east': 9, 'central': 13, 'south': 13, 'north': 7}","{'west': 45, 'national': 52, 'east': 37, 'central': 52, 'south': 52, 'north': 31}",,"{'west': 4, 'national': 4, 'east': 1, 'central': 2, 'south': 3, 'north': 3}","{'west': 7, 'national': 7, 'east': 2, 'central': 4, 'south': 4, 'north': 4}","{'west': 0.47, 'national': 0.81, 'east': 0.81, 'central': 0.42, 'south': 0.55, 'north': 0.69}","{'west': 5, 'national': 8, 'east': 8, 'central': 4, 'south': 5, 'north': 7}",2020-02-15
1141,"{'west': 17, 'national': 27, 'east': 22, 'central': 26, 'south': 27, 'north': 22}","{'west': 16, 'national': 42, 'east': 20, 'central': 42, 'south': 42, 'north': 38}","{'west': 40, 'national': 64, 'east': 52, 'central': 62, 'south': 64, 'north': 51}","{'west': 56, 'national': 56, 'east': 51, 'central': 56, 'south': 52, 'north': 37}","{'west': 38, 'national': 38, 'east': 24, 'central': 24, 'south': 29, 'north': 15}","{'west': 38, 'national': 38, 'east': 24, 'central': 24, 'south': 29, 'north': 15}","{'west': 17, 'national': 17, 'east': 12, 'central': 17, 'south': 13, 'north': 9}","{'west': 56, 'national': 56, 'east': 51, 'central': 56, 'south': 52, 'north': 37}",,"{'west': 5, 'national': 6, 'east': 2, 'central': 2, 'south': 6, 'north': 3}","{'west': 9, 'national': 9, 'east': 3, 'central': 4, 'south': 9, 'north': 4}","{'west': 0.61, 'national': 0.85, 'east': 0.85, 'central': 0.49, 'south': 0.59, 'north': 0.82}","{'west': 6, 'national': 9, 'east': 9, 'central': 5, 'south': 6, 'north': 8}",2020-02-16
1142,"{'west': 10, 'national': 15, 'east': 13, 'central': 15, 'south': 15, 'north': 13}","{'west': 16, 'national': 25, 'east': 15, 'central': 25, 'south': 22, 'north': 7}","{'west': 24, 'national': 35, 'east': 32, 'central': 35, 'south': 35, 'north': 30}","{'west': 40, 'national': 50, 'east': 50, 'central': 44, 'south': 29, 'north': 25}","{'west': 26, 'national': 26, 'east': 26, 'central': 19, 'south': 26, 'north': 12}","{'west': 26, 'national': 26, 'east': 26, 'central': 19, 'south': 26, 'north': 12}","{'west': 10, 'national': 12, 'east': 12, 'central': 10, 'south': 7, 'north': 6}","{'west': 40, 'national': 50, 'east': 50, 'central': 44, 'south': 29, 'north': 25}",,"{'west': 4, 'national': 4, 'east': 1, 'central': 2, 'south': 2, 'north': 3}","{'west': 6, 'national': 6, 'east': 2, 'central': 3, 'south': 3, 'north': 4}","{'west': 0.48, 'national': 0.7, 'east': 0.38, 'central': 0.38, 'south': 0.47, 'north': 0.7}","{'west': 5, 'national': 7, 'east': 4, 'central': 4, 'south': 5, 'north': 7}",2020-02-17
1143,"{'west': 6, 'national': 13, 'east': 3, 'central': 13, 'south': 9, 'north': 9}","{'west': 33, 'national': 33, 'east': 15, 'central': 17, 'south': 25, 'north': 13}","{'west': 14, 'national': 30, 'east': 7, 'central': 30, 'south': 20, 'north': 22}","{'west': 30, 'national': 33, 'east': 33, 'central': 33, 'south': 28, 'north': 26}","{'west': 19, 'national': 21, 'east': 19, 'central': 17, 'south': 21, 'north': 13}","{'west': 19, 'national': 21, 'east': 19, 'central': 17, 'south': 21, 'north': 13}","{'west': 7, 'national': 8, 'east': 8, 'central': 8, 'south': 7, 'north': 6}","{'west': 30, 'national': 33, 'east': 33, 'central': 33, 'south': 28, 'north': 26}",,"{'west': 3, 'national': 3, 'east': 3, 'central': 2, 'south': 2, 'north': 3}","{'west': 5, 'national': 5, 'east': 4, 'central': 3, 'south': 3, 'north': 4}","{'west': 0.47, 'national': 0.73, 'east': 0.42, 'central': 0.4, 'south': 0.49, 'north': 0.73}","{'west': 5, 'national': 7, 'east': 4, 'central': 4, 'south': 5, 'north': 7}",2020-02-18
1144,"{'west': 13, 'national': 20, 'east': 11, 'central': 20, 'south': 17, 'north': 16}","{'west': 7, 'national': 14, 'east': 9, 'central': 8, 'south': 14, 'north': 4}","{'west': 31, 'national': 46, 'east': 26, 'central': 46, 'south': 40, 'north': 38}","{'west': 40, 'national': 53, 'east': 53, 'central': 51, 'south': 48, 'north': 41}","{'west': 29, 'national': 37, 'east': 29, 'central': 28, 'south': 37, 'north': 19}","{'west': 29, 'national': 37, 'east': 29, 'central': 28, 'south': 37, 'north': 19}","{'west': 10, 'national': 14, 'east': 14, 'central': 12, 'south': 11, 'north': 10}","{'west': 40, 'national': 53, 'east': 53, 'central': 51, 'south': 48, 'north': 41}",,"{'west': 3, 'national': 3, 'east': 3, 'central': 2, 'south': 2, 'north': 3}","{'west': 4, 'national': 5, 'east': 5, 'central': 3, 'south': 3, 'north': 4}","{'west': 0.55, 'national': 0.55, 'east': 0.42, 'central': 0.41, 'south': 0.5, 'north': 0.42}","{'west': 6, 'national': 6, 'east': 4, 'central': 4, 'south': 5, 'north': 4}",2020-02-19
