Company cars,Off peak cars,Private Hire (Chauffeur) cars,Private Hire (Self-Drive) cars,Private cars,Tuition cars,national
24196.0,16947.0,46903.0,21180.0,502187.0,843.0,19.628808864265928
24817.0,14028.0,45342.0,21138.0,509302.0,825.0,17.684931506849313
24610.0,12977.0,55575.0,21566.0,515036.0,832.0,14.628571428571428
30966.0,12028.0,49796.0,21351.0,519132.0,769.0,14.966850828729282
33114.0,11033.0,44843.0,23147.0,532204.0,809.0,16.41456582633053
35109.0,9797.0,46477.0,26155.0,532348.0,781.0,16.22252747252747
35429.0,8736.0,53448.0,28306.0,524613.0,770.0,16.71578947368421
