,o3_sub_index,no2_one_hour_max,o3_eight_hour_max,psi_twenty_four_hourly,pm10_twenty_four_hourly,pm10_sub_index,pm25_twenty_four_hourly,so2_sub_index,pm25_sub_index,so2_twenty_four_hourly,co_eight_hour_max,co_sub_index,date
10,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-11
11,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-12
12,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-13
13,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-14
14,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-15
15,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-16
16,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-17
17,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-18
18,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-19
19,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-20
20,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-21
21,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-22
22,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-23
23,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-24
24,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-25
25,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-26
26,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-27
27,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-28
28,"{'west': 2, 'east': 3, 'central': 4, 'south': 1, 'north': 4}","{'west': 31, 'east': 42, 'central': 41, 'south': 21, 'north': 34}","{'west': 4, 'east': 7, 'central': 10, 'south': 3, 'north': 8}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 28, 'east': 22, 'central': 35, 'south': 16, 'north': 26}","{'west': 18, 'east': 10, 'central': 17, 'south': 8, 'north': 12}","{'west': 4, 'east': 3, 'central': 2, 'south': 4, 'north': 1}","{'west': 57, 'east': 40, 'central': 57, 'south': 34, 'north': 50}","{'west': 7, 'east': 5, 'central': 3, 'south': 7, 'north': 2}","{'west': 1, 'east': 1, 'central': 1, 'south': 0, 'north': 1}","{'west': 6, 'east': 7, 'central': 8, 'south': 5, 'north': 7}",2024-02-29
